species_guess,iconic_taxon_name,count
Mouse-eared Bats,Mammalia,99
Prothonotary Warbler,Aves,98
Ovenbird,Aves,98
Зелёная пеночка,Aves,98
Field Sparrow,Aves,98
Птицы,Aves,98
Fox Sparrow,Aves,96
Common Eastern Froglet,Amphibia,94
Monk Parakeet,Aves,94
Tree Swallow,Aves,92
Ash-throated Flycatcher,Aves,92
Eastern Red Bat,Mammalia,92
Eurasian Tree Sparrow,Aves,91
Orchard Oriole,Aves,91
Purple Finch,Aves,91
Wild Turkey,Aves,90
Evening Bat,Mammalia,90
Садовая славка,Aves,89
Wilson's Warbler,Aves,89
American Woodcock,Aves,89
Eurasian Skylark,Aves,89
Gray Tree Frog,Amphibia,88
Common Whitethroat,Aves,88
Tropical Kingbird,Aves,88
Orange-crowned Warbler,Aves,88
Rose-ringed Parakeet,Aves,87
Black-billed Magpie,Aves,87
Blanchard's Cricket Frog,Amphibia,86
Star,Aves,86
Black-throated Green Warbler,Aves,86
Brewer's Blackbird,Aves,86
Vesper Bats,Mammalia,86
Common Tree Crickets,Insecta,85
Prairie Warbler,Aves,84
Acorn Woodpecker,Aves,83
Серая славка,Aves,82
Blaumeise,Aves,82
Cliff Swallow,Aves,82
Yellow-throated Vireo,Aves,82
Black-bellied Whistling-Duck,Aves,82
Western Wood-Pewee,Aves,81
Singdrossel,Aves,81
Lazuli Bunting,Aves,81
Mönchsgrasmücke,Aves,80
Loggerhead Shrike,Aves,80
Ash Cicada,Insecta,79
Cigarra‑comum,Insecta,79
Northern Leopard Frog,Amphibia,77
Superb Lyrebird,Aves,77
Buchfink,Aves,77
Common Nightingale,Aves,76
Western Kingbird,Aves,76
Veery,Aves,76
Viherpeippo,Aves,76
Обыкновенная чечевица,Aves,76
Moineau domestique,Aves,76
Buntspecht,Aves,76
Curve-billed Thrasher,Aves,76
Дрозд-рябинник,Aves,76
Rock Wren,Aves,76
Eurasian Nuthatch,Aves,76
Common Swift,Aves,75
Chestnut-sided Warbler,Aves,75
